N.;Prioridad;Fecha;Ensayo;Estatus
1;red;2014-10-27;IT-532;pipeta_estrella
2;red;2014-10-27;IT-532;pipeta_estrella
3;red;2014-10-27;IT-532;pipeta_estrella
4;red;2014-10-27;IT-532;pipeta_estrella
5;red;2014-10-27;IT-532;pipeta_estrella
6;red;2014-10-27;IT-532;pipeta_estrella
7;red;2014-10-29;IT-532;pipeta_estrella
8;red;2014-10-29;IT-532;pipeta_estrella
9;red;2014-10-29;IT-532;pipeta_estrella
10;red;2014-10-29;IT-532;pipeta_estrella
11;red;2014-10-29;IT-532;pipeta_estrella
12;red;2014-10-29;IT-532;pipeta_estrella
13;red;2014-10-29;IT-515;pipeta_estrella
14;red;2014-10-29;IT-532;pipeta_estrella
15;red;2014-10-29;IT-532;pipeta_estrella
16;red;2014-10-29;IT-532;pipeta_estrella
17;red;2014-10-29;IT-532;pipeta_estrella
18;red;2014-10-29;IT-532;pipeta_estrella
19;red;2014-10-29;IT-532;pipeta_estrella
20;red;2014-11-03;IT-532;pipeta_estrella
21;red;2014-11-03;IT-532;pipeta_estrella
22;red;2014-11-03;IT-532;pipeta_estrella
23;red;2014-11-05;IT-515;pipeta_check
24;red;2014-11-11;IT-532;pipeta_check
25;red;2014-11-11;IT-532;pipeta_check
26;red;2014-11-11;IT-532;pipeta_check
27;red;2014-11-21;IT-532;pipeta_estrella
28;red;2014-11-21;IT-532;pipeta_estrella
29;red;2014-11-21;IT-532;pipeta_estrella
30;red;2014-12-04;IT-532;pipeta_estrella
31;red;2014-12-04;IT-532;pipeta_estrella
32;red;2014-12-04;IT-532;pipeta_estrella
33;red;2014-12-08;IT-515;pipeta_estrella
34;red;2015-04-07;IT-532;pipeta_check
35;red;2015-04-07;IT-532;pipeta_check
36;red;2015-04-07;IT-532;pipeta_check
37;red;2015-04-07;IT-532;pipeta_check
38;red;2015-04-07;IT-532;pipeta_check
39;red;2015-04-07;IT-532;pipeta_check
40;red;2015-04-07;IT-532;pipeta_check
41;red;2015-04-07;IT-532;pipeta_check
42;red;2015-04-07;IT-532;pipeta_check
43;red;2015-04-07;IT-532;pipeta_check
44;red;2015-04-07;IT-532;pipeta_check
45;red;2015-04-07;IT-532;pipeta_check
46;red;2015-04-07;IT-532;pipeta_check
47;red;2015-04-07;IT-532;pipeta_check
48;red;2015-04-07;IT-532;pipeta_check
49;red;2015-04-07;IT-532;pipeta_check
50;red;2015-04-07;IT-532;pipeta_check
51;red;2015-04-07;IT-532;pipeta_check
52;red;2015-04-07;IT-532;pipeta_check
53;red;2015-04-07;IT-532;pipeta_check
54;red;2015-04-07;IT-532;pipeta_check
55;red;2015-04-07;IT-532;pipeta_check
56;red;2015-04-07;IT-532;pipeta_check
57;red;2015-04-07;IT-532;pipeta_check
58;red;2015-04-07;IT-532;pipeta_check
59;red;2015-04-07;IT-532;pipeta_check
60;red;2015-04-07;IT-532;pipeta_check
61;red;2015-04-07;IT-532;pipeta_check
62;red;2015-04-07;IT-532;pipeta_check
63;red;2015-04-07;IT-532;pipeta_check
64;red;2015-04-07;IT-532;pipeta_check
65;red;2015-04-07;IT-532;pipeta_check
66;red;2015-04-07;IT-532;pipeta_check
67;red;2015-04-07;IT-532;pipeta_check
68;red;2015-04-07;IT-532;pipeta_check
69;red;2015-04-07;IT-532;pipeta_check
70;red;2015-04-07;IT-532;pipeta_check
71;red;2015-04-07;IT-532;pipeta_check
72;red;2015-04-07;IT-532;pipeta_check
73;red;2015-04-07;IT-532;pipeta_retirado
74;red;2015-04-07;IT-532;pipeta_retirado
75;red;2015-04-07;IT-532;pipeta_retirado
76;red;2015-04-07;IT-532;pipeta_retirado
77;red;2015-04-07;IT-532;pipeta_retirado
78;red;2015-04-07;IT-532;pipeta_retirado
79;red;2015-04-07;IT-532;pipeta_check
80;red;2015-04-07;IT-532;pipeta_check
81;red;2015-04-07;IT-532;pipeta_check
82;red;2015-04-07;IT-532;pipeta_retirado
83;red;2015-04-07;IT-532;pipeta_retirado
84;red;2015-04-07;IT-532;pipeta_retirado
85;red;2015-04-07;IT-532;pipeta_check
86;red;2015-04-07;IT-532;pipeta_check
87;red;2015-04-07;IT-532;pipeta_check
88;red;2015-04-14;IT-532;pipeta_check
89;red;2015-04-14;IT-532;pipeta_check
90;red;2015-04-14;IT-532;pipeta_check
91;red;2015-04-14;IT-532;pipeta_check
92;red;2015-04-14;IT-532;pipeta_check
93;red;2015-04-14;IT-532;pipeta_check
94;red;2015-04-14;IT-532;pipeta_check
95;red;2015-04-14;IT-532;pipeta_check
96;red;2015-04-14;IT-532;pipeta_check
97;red;2015-05-07;IT-532;pipeta_check
98;red;2015-05-07;IT-532;pipeta_check
99;red;2015-05-07;IT-532;pipeta_check
100;red;2015-05-07;IT-532;pipeta_check
101;red;2015-05-07;IT-532;pipeta_check
102;red;2015-05-07;IT-532;pipeta_check
103;red;2015-05-07;IT-532;pipeta_check
104;red;2015-05-07;IT-532;pipeta_check
105;red;2015-05-07;IT-532;pipeta_check
106;red;2015-05-07;IT-532;pipeta_check
107;red;2015-05-07;IT-532;pipeta_check
108;red;2015-05-07;IT-532;pipeta_check
109;red;2015-05-07;IT-532;pipeta_check
110;red;2015-05-07;IT-532;pipeta_check
111;red;2015-05-07;IT-532;pipeta_check
112;red;2015-05-07;IT-532;pipeta_check
113;red;2015-05-07;IT-532;pipeta_check
114;red;2015-05-07;IT-532;pipeta_check
115;red;2015-05-15;IT-532;pipeta_estrella
116;red;2015-05-15;IT-532;pipeta_estrella
117;red;2015-05-15;IT-532;pipeta_estrella
118;red;2016-04-07;IT-515;pipeta_estrella
119;red;2016-04-07;IT-515;pipeta_estrella
120;red;2016-04-07;IT-515;pipeta_estrella
121;red;2016-04-07;IT-515;pipeta_estrella
122;red;2016-04-07;IT-515;pipeta_estrella
123;red;2016-04-07;IT-515;pipeta_estrella
124;red;2016-11-14;IT-532;pipeta_retirado
125;red;2016-11-14;IT-532;pipeta_retirado
126;red;2016-11-14;IT-532;pipeta_retirado
127;red;2016-11-14;IT-532;pipeta_retirado
128;red;2016-11-14;IT-532;pipeta_retirado
129;red;2016-11-14;IT-532;pipeta_retirado
130;red;2016-11-14;IT-532;pipeta_retirado
131;red;2016-11-14;IT-532;pipeta_retirado
132;red;2016-11-14;IT-532;pipeta_retirado
133;red;2016-11-14;IT-532;pipeta_retirado
134;red;2016-11-14;IT-532;pipeta_retirado
135;red;2016-11-14;IT-532;pipeta_retirado
136;red;2016-11-14;IT-532;pipeta_retirado
137;red;2016-11-14;IT-532;pipeta_retirado
138;red;2016-11-14;IT-532;pipeta_retirado
139;red;2016-11-14;IT-532;pipeta_retirado
140;red;2016-11-14;IT-532;pipeta_retirado
141;red;2016-11-14;IT-532;pipeta_retirado
142;red;2016-11-14;IT-532;pipeta_retirado
143;red;2016-11-14;IT-532;pipeta_retirado
144;red;2016-11-14;IT-532;pipeta_retirado
145;red;2016-11-14;IT-532;pipeta_retirado
146;red;2016-11-14;IT-532;pipeta_retirado
147;red;2016-11-14;IT-532;pipeta_retirado
